"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
4,"1","Not trucks","2025-01-23T17:56:27.471452Z",21,"/data/upload/3/f7f72711-img_360.jpg",9.851,"2025-01-23T17:56:27.471467Z"
5,"1","Not trucks","2025-01-23T17:56:37.470277Z",22,"/data/upload/3/c0f358d9-img_361.jpg",3.732,"2025-01-23T17:56:37.470297Z"
6,"1","Trucks","2025-01-23T17:56:57.267632Z",23,"/data/upload/3/8789505d-img_362.jpg",14.814,"2025-01-23T17:56:57.267644Z"
7,"1","Not trucks","2025-01-23T17:57:01.941333Z",24,"/data/upload/3/0df8f334-img_363.jpg",3.202,"2025-01-23T17:57:01.941345Z"
8,"1","Not trucks","2025-01-23T17:57:07.508637Z",25,"/data/upload/3/e38d5c22-img_364.jpg",4.423,"2025-01-23T17:57:07.508657Z"
9,"1","Trucks","2025-01-23T17:57:17.223381Z",26,"/data/upload/3/cc0f221a-img_365.jpg",3.176,"2025-01-23T17:57:17.223397Z"
10,"1","Trucks","2025-01-23T17:57:39.844809Z",27,"/data/upload/3/eafd96bf-img_366.jpg",11.597,"2025-01-23T17:57:39.844831Z"
11,"1","Not trucks","2025-01-23T17:57:45.547275Z",28,"/data/upload/3/1f869aaf-img_367.jpg",4.725,"2025-01-23T17:57:45.547294Z"
12,"1","Not trucks","2025-01-23T17:57:56.619011Z",29,"/data/upload/3/c1f141fc-img_368.jpg",10.239,"2025-01-23T17:57:56.619025Z"
13,"1","Trucks","2025-01-23T17:58:06.251650Z",30,"/data/upload/3/c2ebdeba-img_369.jpg",8.277,"2025-01-23T17:58:06.251667Z"
14,"1","Trucks","2025-01-23T17:58:10.022600Z",31,"/data/upload/3/f688f2b4-img_370.jpg",2.501,"2025-01-23T17:58:10.022616Z"
15,"1","Trucks","2025-01-23T17:58:14.370792Z",32,"/data/upload/3/fc6d119e-img_371.jpg",3.333,"2025-01-23T17:58:14.370809Z"
16,"1","Trucks","2025-01-23T17:58:17.574645Z",33,"/data/upload/3/eceadc64-img_372.jpg",2.185,"2025-01-23T17:58:17.574666Z"
17,"1","Trucks","2025-01-23T17:58:22.219692Z",34,"/data/upload/3/c011243e-img_373.jpg",3.727,"2025-01-23T17:58:22.219709Z"
18,"1","Not trucks","2025-01-23T17:58:29.214651Z",35,"/data/upload/3/98036c57-img_374.jpg",6.027,"2025-01-23T17:58:29.214675Z"
19,"1","Trucks","2025-01-23T17:58:34.411867Z",36,"/data/upload/3/0d66367a-img_375.jpg",3.616,"2025-01-23T17:58:34.411881Z"
20,"1","Not trucks","2025-01-23T17:58:42.944110Z",37,"/data/upload/3/02346326-img_376.jpg",6.552,"2025-01-23T17:58:42.944126Z"
21,"1","Not trucks","2025-01-23T17:58:55.387253Z",38,"/data/upload/3/25643cdb-img_377.jpg",10.929,"2025-01-23T17:58:55.387266Z"
22,"1","Not trucks","2025-01-23T17:58:59.754007Z",39,"/data/upload/3/ac400246-img_378.jpg",3.274,"2025-01-23T17:58:59.754023Z"
23,"1","Not trucks","2025-01-23T17:59:06.709311Z",40,"/data/upload/3/1eff19f0-img_379.jpg",5.214,"2025-01-23T17:59:06.709328Z"
