"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
44,"1","Not trucks","2025-01-24T09:36:25.456260Z",61,"/data/upload/7/c923e5a8-img_360.jpg",9.81,"2025-01-24T09:36:25.456281Z"
45,"1","Not trucks","2025-01-24T09:36:35.157202Z",62,"/data/upload/7/b3848b02-img_361.jpg",6.455,"2025-01-24T09:36:35.157220Z"
46,"1","Not trucks","2025-01-24T09:37:00.181737Z",63,"/data/upload/7/5e8e994d-img_362.jpg",22.873,"2025-01-24T09:37:00.181754Z"
47,"1","Not trucks","2025-01-24T09:37:12.029820Z",64,"/data/upload/7/b1239f98-img_363.jpg",9.535,"2025-01-24T09:37:12.029836Z"
48,"1","Not trucks","2025-01-24T09:37:19.001255Z",65,"/data/upload/7/2fc92f90-img_364.jpg",5.479,"2025-01-24T09:37:19.001274Z"
49,"1","Trucks","2025-01-24T09:37:22.669073Z",66,"/data/upload/7/ab0bfc4b-img_365.jpg",2.455,"2025-01-24T09:37:22.669089Z"
50,"1","Trucks","2025-01-24T09:37:26.577299Z",67,"/data/upload/7/02749cd7-img_366.jpg",2.872,"2025-01-24T09:37:26.577316Z"
51,"1","Trucks","2025-01-24T09:37:33.259060Z",68,"/data/upload/7/f18958ae-img_367.jpg",5.503,"2025-01-24T09:37:33.259076Z"
52,"1","Not trucks","2025-01-24T09:37:39.385298Z",69,"/data/upload/7/429daafa-img_368.jpg",4.539,"2025-01-24T09:37:39.385311Z"
53,"1","Trucks","2025-01-24T09:37:43.380890Z",70,"/data/upload/7/b7b70815-img_369.jpg",3.101,"2025-01-24T09:37:43.380904Z"
54,"1","Trucks","2025-01-24T09:37:49.045196Z",71,"/data/upload/7/5b0ff952-img_370.jpg",2.462,"2025-01-24T09:37:49.045212Z"
55,"1","Trucks","2025-01-24T09:37:58.636172Z",72,"/data/upload/7/7191e64f-img_371.jpg",8.534,"2025-01-24T09:37:58.636196Z"
56,"1","Trucks","2025-01-24T09:38:35.330384Z",73,"/data/upload/7/6f00f2c0-img_372.jpg",4.221,"2025-01-24T09:38:35.330402Z"
57,"1","Trucks","2025-01-24T09:38:40.535886Z",74,"/data/upload/7/79622fe7-img_373.jpg",4.258,"2025-01-24T09:38:40.535902Z"
58,"1","Not trucks","2025-01-24T09:38:47.245106Z",75,"/data/upload/7/1dade460-img_374.jpg",5.498,"2025-01-24T09:38:47.245128Z"
59,"1","Trucks","2025-01-24T09:39:02.638760Z",76,"/data/upload/7/8c18e2fc-img_375.jpg",8.692,"2025-01-24T09:39:02.638778Z"
60,"1","Not trucks","2025-01-24T09:39:28.396882Z",77,"/data/upload/7/b2bd320e-img_376.jpg",7.353,"2025-01-24T09:39:28.396899Z"
61,"1","Trucks","2025-01-24T09:39:34.709535Z",78,"/data/upload/7/5fcd213c-img_377.jpg",5.338,"2025-01-24T09:39:34.709553Z"
62,"1","Not trucks","2025-01-24T09:39:41.970290Z",79,"/data/upload/7/9c5c98ad-img_378.jpg",3.928,"2025-01-24T09:39:41.970307Z"
63,"1","Not trucks","2025-01-24T09:39:50.411376Z",80,"/data/upload/7/b107e0d5-img_379.jpg",7.004,"2025-01-24T09:39:50.411389Z"
