"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
66,"1","2025-01-24T16:25:26.929162Z",1,"[{""start"":0,""end"":4,""text"":""भारत"",""labels"":[""PROPN""]},{""start"":5,""end"":7,""text"":""के"",""labels"":[""ADP""]},{""start"":8,""end"":18,""text"":""पूर्वोत्तर"",""labels"":[""ADV""]},{""start"":19,""end"":26,""text"":""राज्यों"",""labels"":[""NOUN""]},{""start"":27,""end"":30,""text"":""में"",""labels"":[""ADP""]},{""start"":31,""end"":39,""text"":""internet"",""labels"":[""NOUN""]},{""start"":40,""end"":42,""text"":""का"",""labels"":[""ADP""]},{""start"":43,""end"":45,""text"":""एक"",""labels"":[""NUM""]},{""start"":46,""end"":56,""text"":""connection"",""labels"":[""NOUN""]},{""start"":57,""end"":67,""text"":""बांग्लादेश"",""labels"":[""PROPN""]},{""start"":68,""end"":70,""text"":""से"",""labels"":[""ADP""]},{""start"":71,""end"":73,""text"":""भी"",""labels"":[""ADV""]},{""start"":74,""end"":75,""text"":""आ"",""labels"":[""VERB""]},{""start"":76,""end"":79,""text"":""रहा"",""labels"":[""VERB""]},{""start"":80,""end"":82,""text"":""है"",""labels"":[""VERB""]},{""start"":82,""end"":83,""text"":""।"",""labels"":[""X""]}]",1378.586,"भारत के पूर्वोत्तर राज्यों में internet का एक connection बांग्लादेश से भी आ रहा है।","2025-01-24T16:25:26.929178Z"
64,"1","2025-01-24T16:22:55.095999Z",2,"[{""start"":0,""end"":2,""text"":""आज"",""labels"":[""ADV""]},{""start"":3,""end"":7,""text"":""भारत"",""labels"":[""PROPN""]},{""start"":8,""end"":11,""text"":""में"",""labels"":[""ADP""]},{""start"":12,""end"":14,""text"":""हम"",""labels"":[""PRON""]},{""start"":15,""end"":31,""text"":""Space Technology"",""labels"":[""PROPN""]},{""start"":32,""end"":34,""text"":""का"",""labels"":[""ADP""]},{""start"":35,""end"":43,""text"":""इस्तेमाल"",""labels"":[""NOUN""]},{""start"":44,""end"":48,""text"":""गरीब"",""labels"":[""ADJ""]},{""start"":49,""end"":51,""text"":""का"",""labels"":[""ADP""]},{""start"":52,""end"":56,""text"":""जीवन"",""labels"":[""NOUN""]},{""start"":57,""end"":61,""text"":""स्तर"",""labels"":[""VERB""]},{""start"":62,""end"":65,""text"":""ऊपर"",""labels"":[""ADV""]},{""start"":66,""end"":71,""text"":""उठाने"",""labels"":[""VERB""]},{""start"":72,""end"":74,""text"":""और"",""labels"":[""CONJ""]},{""start"":75,""end"":81,""text"":""सिस्टम"",""labels"":[""NOUN""]},{""start"":82,""end"":86,""text"":""में "",""labels"":[""ADP""]},{""start"":86,""end"":98,""text"":""Transparency"",""labels"":[""NOUN""]},{""start"":99,""end"":103,""text"":""लाने"",""labels"":[""VERB""]},{""start"":104,""end"":106,""text"":""के"",""labels"":[""ADP""]},{""start"":107,""end"":110,""text"":""लिए"",""labels"":[""ADV""]},{""start"":107,""end"":110,""text"":""लिए"",""labels"":[""ADP""]},{""start"":111,""end"":113,""text"":""कर"",""labels"":[""VERB""]},{""start"":114,""end"":117,""text"":""रहे"",""labels"":[""VERB""]},{""start"":118,""end"":121,""text"":""हैं"",""labels"":[""VERB""]},{""start"":121,""end"":122,""text"":""।"",""labels"":[""X""]}]",455.641,"आज भारत में हम Space Technology का इस्तेमाल गरीब का जीवन स्तर ऊपर उठाने और सिस्टम में Transparency लाने के लिए कर रहे हैं।","2025-01-24T16:22:55.096014Z"
65,"1","2025-01-24T16:25:23.353033Z",3,"[{""start"":0,""end"":2,""text"":""इस"",""labels"":[""DET""]},{""start"":3,""end"":7,""text"":""वर्ष"",""labels"":[""NOUN""]},{""start"":8,""end"":13,""text"":""मार्च"",""labels"":[""PROPN""]},{""start"":14,""end"":17,""text"":""में"",""labels"":[""ADP""]},{""start"":18,""end"":24,""text"":""दिल्ली"",""labels"":[""PROPN""]},{""start"":25,""end"":28,""text"":""में"",""labels"":[""ADP""]},{""start"":29,""end"":57,""text"":""International Solar Alliance"",""labels"":[""PROPN""]},{""start"":58,""end"":60,""text"":""का"",""labels"":[""ADP""]},{""start"":61,""end"":67,""text"":""summit"",""labels"":[""NOUN""]},{""start"":68,""end"":71,""text"":""हुआ"",""labels"":[""VERB""]},{""start"":71,""end"":72,""text"":""।"",""labels"":[""X""]}]",115.451,"इस वर्ष मार्च में दिल्ली में International Solar Alliance का summit हुआ।","2025-01-24T16:25:23.353048Z"
67,"1","2025-01-24T17:18:15.053771Z",4,"[{""start"":0,""end"":4,""text"":""इसके"",""labels"":[""DET""]},{""start"":5,""end"":10,""text"":""अलावा"",""labels"":[""ADP""]},{""start"":11,""end"":20,""text"":""दिग्लीपुर"",""labels"":[""PROPN""]},{""start"":20,""end"":22,""text"":"", "",""labels"":[""X""]},{""start"":22,""end"":33,""text"":""Car Nicobar"",""labels"":[""PROPN""]},{""start"":34,""end"":36,""text"":""और"",""labels"":[""CONJ""]},{""start"":37,""end"":49,""text"":""Campbell-Bay"",""labels"":[""PROPN""]},{""start"":50,""end"":53,""text"":""में"",""labels"":[""ADP""]},{""start"":54,""end"":56,""text"":""भी"",""labels"":[""ADV""]},{""start"":57,""end"":65,""text"":""एयरपोर्ट"",""labels"":[""NOUN""]},{""start"":65,""end"":66,""text"":"","",""labels"":[""X""]},{""start"":67,""end"":73,""text"":""ऑपरेशन"",""labels"":[""NOUN""]},{""start"":74,""end"":76,""text"":""के"",""labels"":[""ADP""]},{""start"":77,""end"":80,""text"":""लिए"",""labels"":[""ADP""]},{""start"":81,""end"":86,""text"":""तैयार"",""labels"":[""ADJ""]},{""start"":87,""end"":89,""text"":""हो"",""labels"":[""VERB""]},{""start"":90,""end"":94,""text"":""चुके"",""labels"":[""PART""]},{""start"":95,""end"":98,""text"":""हैं"",""labels"":[""VERB""]},{""start"":98,""end"":99,""text"":""।"",""labels"":[""X""]}]",3197.9330000000004,"इसके अलावा दिग्लीपुर, Car Nicobar और Campbell-Bay में भी एयरपोर्ट, ऑपरेशन के लिए तैयार हो चुके हैं।","2025-01-24T17:25:34.416729Z"
68,"1","2025-01-24T18:37:41.746239Z",5,"[{""start"":0,""end"":6,""text"":""स्वराज"",""labels"":[""PROPN""]},{""start"":7,""end"":12,""text"":""द्वीप"",""labels"":[""PROPN""]},{""start"":12,""end"":14,""text"":"", "",""labels"":[""X""]},{""start"":14,""end"":18,""text"":""शहीद"",""labels"":[""PROPN""]},{""start"":19,""end"":24,""text"":""द्वीप"",""labels"":[""PROPN""]},{""start"":25,""end"":27,""text"":""और"",""labels"":[""CONJ""]},{""start"":28,""end"":39,""text"":""Long Island"",""labels"":[""PROPN""]},{""start"":40,""end"":43,""text"":""में"",""labels"":[""ADP""]},{""start"":44,""end"":62,""text"":""Passenger Terminal"",""labels"":[""NOUN""]},{""start"":62,""end"":64,""text"":"", "",""labels"":[""X""]},{""start"":64,""end"":78,""text"":""Floating Jetty"",""labels"":[""NOUN""]},{""start"":79,""end"":83,""text"":""जैसे"",""labels"":[""ADP""]},{""start"":84,""end"":115,""text"":""Water Aerodrome Infrastructure "",""labels"":[""NOUN""]},{""start"":115,""end"":117,""text"":""भी"",""labels"":[""ADV""]},{""start"":118,""end"":121,""text"":""आने"",""labels"":[""VERB""]},{""start"":122,""end"":126,""text"":""वाले"",""labels"":[""ADV""]},{""start"":127,""end"":130,""text"":""कुछ"",""labels"":[""DET""]},{""start"":131,""end"":137,""text"":""महीनों"",""labels"":[""NOUN""]},{""start"":138,""end"":141,""text"":""में"",""labels"":[""ADP""]},{""start"":142,""end"":146,""text"":""बनकर"",""labels"":[""VERB""]},{""start"":147,""end"":152,""text"":""तैयार"",""labels"":[""ADJ""]},{""start"":153,""end"":155,""text"":""हो"",""labels"":[""VERB""]},{""start"":156,""end"":162,""text"":""जाएंगे"",""labels"":[""VERB""]},{""start"":162,""end"":163,""text"":""।"",""labels"":[""X""]}]",4311.57,"स्वराज द्वीप, शहीद द्वीप और Long Island में Passenger Terminal, Floating Jetty जैसे Water Aerodrome Infrastructure भी आने वाले कुछ महीनों में बनकर तैयार हो जाएंगे।","2025-01-24T18:37:41.746261Z"
69,"1","2025-01-24T18:42:33.487306Z",6,"[{""start"":0,""end"":1,""text"":""3"",""labels"":[""NUM""]},{""start"":2,""end"":5,""text"":""दशक"",""labels"":[""NOUN""]},{""start"":6,""end"":8,""text"":""के"",""labels"":[""ADP""]},{""start"":9,""end"":16,""text"":""इंतज़ार"",""labels"":[""NOUN""]},{""start"":17,""end"":19,""text"":""के"",""labels"":[""ADP""]},{""start"":20,""end"":23,""text"":""बाद"",""labels"":[""ADP""]},{""start"":24,""end"":34,""text"":""West Coast"",""labels"":[""NOUN""]},{""start"":35,""end"":38,""text"":""में"",""labels"":[""ADP""]},{""start"":39,""end"":43,""text"":""भारत"",""labels"":[""PROPN""]},{""start"":44,""end"":46,""text"":""के"",""labels"":[""ADP""]},{""start"":47,""end"":51,""text"":""पहले"",""labels"":[""NUM""]},{""start"":52,""end"":55,""text"":""डीप"",""labels"":[""ADJ""]},{""start"":56,""end"":63,""text"":""ड्राफ्ट"",""labels"":[""NOUN""]},{""start"":64,""end"":74,""text"":""ग्रीनफील्ड"",""labels"":[""ADJ""]},{""start"":75,""end"":84,""text"":""सी-पोर्ट "",""labels"":[""NOUN""]},{""start"":84,""end"":86,""text"":""को"",""labels"":[""ADP""]},{""start"":87,""end"":97,""text"":""सैद्धांतिक"",""labels"":[""ADJ""]},{""start"":98,""end"":105,""text"":""मंज़ूरी"",""labels"":[""NOUN""]},{""start"":106,""end"":108,""text"":""दी"",""labels"":[""VERB""]},{""start"":109,""end"":111,""text"":""जा"",""labels"":[""VERB""]},{""start"":112,""end"":116,""text"":""चुकी"",""labels"":[""VERB""]},{""start"":117,""end"":119,""text"":""है"",""labels"":[""VERB""]},{""start"":119,""end"":120,""text"":""।"",""labels"":[""X""]}]",288.598,"3 दशक के इंतज़ार के बाद West Coast में भारत के पहले डीप ड्राफ्ट ग्रीनफील्ड सी-पोर्ट को सैद्धांतिक मंज़ूरी दी जा चुकी है।","2025-01-24T18:42:33.487332Z"
70,"1","2025-01-24T18:47:02.431279Z",7,"[{""start"":0,""end"":2,""text"":""अब"",""labels"":[""ADV""]},{""start"":3,""end"":8,""text"":""ग्रेट"",""labels"":[""PROPN""]},{""start"":9,""end"":16,""text"":""निकोबार"",""labels"":[""PROPN""]},{""start"":17,""end"":20,""text"":""में"",""labels"":[""ADP""]},{""start"":21,""end"":25,""text"":""करीब"",""labels"":[""ADV""]},{""start"":26,""end"":28,""text"":""10"",""labels"":[""NUM""]},{""start"":29,""end"":34,""text"":""हज़ार"",""labels"":[""NUM""]},{""start"":35,""end"":40,""text"":""करोड़"",""labels"":[""NUM""]},{""start"":41,""end"":45,""text"":""रुपए"",""labels"":[""NOUN""]},{""start"":46,""end"":48,""text"":""की"",""labels"":[""ADP""]},{""start"":49,""end"":56,""text"":""संभावित"",""labels"":[""ADJ""]},{""start"":57,""end"":61,""text"":""लागत"",""labels"":[""NOUN""]},{""start"":62,""end"":64,""text"":""से"",""labels"":[""ADP""]},{""start"":65,""end"":84,""text"":""Trans Shipment Port"",""labels"":[""PROPN""]},{""start"":85,""end"":87,""text"":""के"",""labels"":[""ADP""]},{""start"":88,""end"":95,""text"":""निर्माण"",""labels"":[""NOUN""]},{""start"":96,""end"":98,""text"":""का"",""labels"":[""ADP""]},{""start"":99,""end"":107,""text"":""प्रस्ताव"",""labels"":[""NOUN""]},{""start"":108,""end"":110,""text"":""है"",""labels"":[""VERB""]},{""start"":110,""end"":111,""text"":""।"",""labels"":[""X""]}]",267.357,"अब ग्रेट निकोबार में करीब 10 हज़ार करोड़ रुपए की संभावित लागत से Trans Shipment Port के निर्माण का प्रस्ताव है।","2025-01-24T18:47:02.431295Z"
71,"1","2025-01-24T18:48:42.969934Z",8,"[{""start"":0,""end"":30,""text"":""World Health Organisation-WHO "",""labels"":[""PROPN""]},{""start"":30,""end"":32,""text"":""ने"",""labels"":[""ADP""]},{""start"":33,""end"":56,""text"":""Global strategy on Diet"",""labels"":[""PROPN""]},{""start"":56,""end"":57,""text"":"","",""labels"":[""X""]},{""start"":58,""end"":86,""text"":""physical activity and health"",""labels"":[""NOUN""]},{""start"":87,""end"":91,""text"":""बनाई"",""labels"":[""VERB""]},{""start"":92,""end"":94,""text"":""है"",""labels"":[""VERB""]},{""start"":94,""end"":95,""text"":""।"",""labels"":[""X""]}]",87.815,"World Health Organisation-WHO ने Global strategy on Diet, physical activity and health बनाई है।","2025-01-24T18:48:42.969945Z"
72,"1","2025-01-24T18:52:31.917779Z",9,"[{""start"":0,""end"":4,""text"":""भारत"",""labels"":[""PROPN""]},{""start"":5,""end"":7,""text"":""के"",""labels"":[""ADP""]},{""start"":8,""end"":38,""text"":""Indo Pacific Oceans Initiative"",""labels"":[""PROPN""]},{""start"":39,""end"":41,""text"":""और"",""labels"":[""CONJ""]},{""start"":42,""end"":48,""text"":""आसियान"",""labels"":[""PROPN""]},{""start"":49,""end"":51,""text"":""के"",""labels"":[""ADP""]},{""start"":52,""end"":80,""text"":""Outlook for the Indo-Pacific"",""labels"":[""PROPN""]},{""start"":80,""end"":81,""text"":"","",""labels"":[""X""]},{""start"":82,""end"":93,""text"":""इंडो-पसिफ़िक"",""labels"":[""ADJ""]},{""start"":94,""end"":101,""text"":""क्षेत्र"",""labels"":[""NOUN""]},{""start"":102,""end"":105,""text"":""में"",""labels"":[""ADP""]},{""start"":106,""end"":111,""text"":""हमारे"",""labels"":[""PRON""]},{""start"":112,""end"":116,""text"":""साझा"",""labels"":[""ADJ""]},{""start"":117,""end"":121,""text"":""विज़न"",""labels"":[""NOUN""]},{""start"":122,""end"":124,""text"":""और"",""labels"":[""CONJ""]},{""start"":125,""end"":129,""text"":""आपसी"",""labels"":[""ADJ""]},{""start"":130,""end"":135,""text"":""सहयोग"",""labels"":[""NOUN""]},{""start"":136,""end"":138,""text"":""का"",""labels"":[""ADP""]},{""start"":139,""end"":147,""text"":""ढांचाहैं"",""labels"":[""VERB""]},{""start"":147,""end"":148,""text"":""।"",""labels"":[""X""]}]",227.116,"भारत के Indo Pacific Oceans Initiative और आसियान के Outlook for the Indo-Pacific, इंडो-पसिफ़िक क्षेत्र में हमारे साझा विज़न और आपसी सहयोग का ढांचाहैं।","2025-01-24T18:52:31.917795Z"
73,"1","2025-01-24T18:55:12.944838Z",10,"[{""start"":0,""end"":2,""text"":""उस"",""labels"":[""DET""]},{""start"":3,""end"":6,""text"":""समय"",""labels"":[""NOUN""]},{""start"":7,""end"":31,""text"":""Public Sector Enterprise"",""labels"":[""PROPN""]},{""start"":32,""end"":35,""text"":""ने "",""labels"":[""ADP""]},{""start"":35,""end"":38,""text"":""देश"",""labels"":[""NOUN""]},{""start"":39,""end"":41,""text"":""से"",""labels"":[""ADP""]},{""start"":42,""end"":47,""text"":""जुड़ी"",""labels"":[""ADJ""]},{""start"":48,""end"":59,""text"":""आवश्‍यकताओं"",""labels"":[""NOUN""]},{""start"":60,""end"":62,""text"":""की"",""labels"":[""ADP""]},{""start"":63,""end"":69,""text"":""पूर्ति"",""labels"":[""NOUN""]},{""start"":70,""end"":72,""text"":""के"",""labels"":[""ADP""]},{""start"":73,""end"":76,""text"":""लिए"",""labels"":[""ADP""]},{""start"":77,""end"":83,""text"":""मोर्चा"",""labels"":[""NOUN""]},{""start"":84,""end"":90,""text"":""संभाला"",""labels"":[""VERB""]},{""start"":91,""end"":93,""text"":""था"",""labels"":[""VERB""]},{""start"":93,""end"":94,""text"":""।"",""labels"":[""X""]}]",159.59,"उस समय Public Sector Enterprise ने देश से जुड़ी आवश्‍यकताओं की पूर्ति के लिए मोर्चा संभाला था।","2025-01-24T18:55:12.944854Z"
