"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
1,"1","2025-01-24T21:56:54.614116Z",1,"[{""start"":0,""end"":4,""text"":""भारत"",""labels"":[""PROPN""]},{""start"":5,""end"":8,""text"":""के "",""labels"":[""ADP""]},{""start"":8,""end"":19,""text"":""पूर्वोत्तर "",""labels"":[""ADJ""]},{""start"":19,""end"":27,""text"":""राज्यों "",""labels"":[""NOUN""]},{""start"":27,""end"":30,""text"":""में"",""labels"":[""ADP""]},{""start"":31,""end"":39,""text"":""internet"",""labels"":[""NOUN""]},{""start"":40,""end"":43,""text"":""का "",""labels"":[""ADP""]},{""start"":43,""end"":45,""text"":""एक"",""labels"":[""NUM""]},{""start"":46,""end"":57,""text"":""connection "",""labels"":[""NOUN""]},{""start"":57,""end"":68,""text"":""बांग्लादेश "",""labels"":[""PROPN""]},{""start"":70,""end"":71,""text"":"" "",""labels"":[""ADV""]},{""start"":68,""end"":70,""text"":""से"",""labels"":[""ADP""]},{""start"":71,""end"":73,""text"":""भी"",""labels"":[""ADV""]},{""start"":74,""end"":75,""text"":""आ"",""labels"":[""VERB""]},{""start"":76,""end"":79,""text"":""रहा"",""labels"":[""VERB""]},{""start"":80,""end"":82,""text"":""है"",""labels"":[""VERB""]},{""start"":82,""end"":83,""text"":""।"",""labels"":[""X""]}]",1911.84,"भारत के पूर्वोत्तर राज्यों में internet का एक connection बांग्लादेश से भी आ रहा है।","2025-01-25T08:30:23.287591Z"
2,"1","2025-01-25T08:36:49.183626Z",2,"[{""start"":3,""end"":8,""text"":""भारत "",""labels"":[""PROPN""]},{""start"":44,""end"":49,""text"":""गरीब "",""labels"":[""ADJ""]},{""start"":35,""end"":44,""text"":""इस्तेमाल "",""labels"":[""VERB""]},{""start"":0,""end"":3,""text"":""आज "",""labels"":[""NOUN""]},{""start"":8,""end"":12,""text"":""में "",""labels"":[""ADP""]},{""start"":12,""end"":15,""text"":""हम "",""labels"":[""PRON""]},{""start"":32,""end"":35,""text"":""का "",""labels"":[""ADP""]},{""start"":49,""end"":51,""text"":""का"",""labels"":[""ADP""]},{""start"":52,""end"":57,""text"":""जीवन "",""labels"":[""NOUN""]},{""start"":57,""end"":62,""text"":""स्तर "",""labels"":[""NOUN""]},{""start"":66,""end"":72,""text"":""उठाने "",""labels"":[""ADV""]},{""start"":62,""end"":66,""text"":""ऊपर "",""labels"":[""ADP""]},{""start"":72,""end"":75,""text"":""और "",""labels"":[""CONJ""]},{""start"":75,""end"":82,""text"":""सिस्टम "",""labels"":[""NOUN""]},{""start"":82,""end"":85,""text"":""में"",""labels"":[""ADP""]},{""start"":86,""end"":99,""text"":""Transparency "",""labels"":[""NOUN""]},{""start"":99,""end"":104,""text"":""लाने "",""labels"":[""VERB""]},{""start"":104,""end"":107,""text"":""के "",""labels"":[""ADP""]},{""start"":107,""end"":111,""text"":""लिए "",""labels"":[""ADP""]},{""start"":111,""end"":114,""text"":""कर "",""labels"":[""VERB""]},{""start"":114,""end"":118,""text"":""रहे "",""labels"":[""X""]},{""start"":121,""end"":122,""text"":""।"",""labels"":[""X""]},{""start"":118,""end"":121,""text"":""हैं"",""labels"":[""X""]},{""start"":15,""end"":31,""text"":""Space Technology"",""labels"":[""NOUN""]}]",777.845,"आज भारत में हम Space Technology का इस्तेमाल गरीब का जीवन स्तर ऊपर उठाने और सिस्टम में Transparency लाने के लिए कर रहे हैं।","2025-01-25T11:00:55.241514Z"
3,"1","2025-01-25T08:38:11.049248Z",3,"[{""start"":0,""end"":3,""text"":""इस "",""labels"":[""DET""]},{""start"":3,""end"":8,""text"":""वर्ष "",""labels"":[""NOUN""]},{""start"":8,""end"":14,""text"":""मार्च "",""labels"":[""PROPN""]},{""start"":14,""end"":17,""text"":""में"",""labels"":[""ADP""]},{""start"":18,""end"":24,""text"":""दिल्ली"",""labels"":[""PROPN""]},{""start"":25,""end"":29,""text"":""में "",""labels"":[""ADP""]},{""start"":58,""end"":61,""text"":""का "",""labels"":[""ADP""]},{""start"":61,""end"":68,""text"":""summit "",""labels"":[""NOUN""]},{""start"":68,""end"":71,""text"":""हुआ"",""labels"":[""VERB""]},{""start"":71,""end"":72,""text"":""।"",""labels"":[""X""]},{""start"":29,""end"":57,""text"":""International Solar Alliance"",""labels"":[""PROPN""]}]",91.55499999999999,"इस वर्ष मार्च में दिल्ली में International Solar Alliance का summit हुआ।","2025-01-25T11:01:10.772187Z"
4,"1","2025-01-25T08:58:12.583376Z",4,"[{""start"":0,""end"":5,""text"":""इसके "",""labels"":[""DET""]},{""start"":5,""end"":11,""text"":""अलावा "",""labels"":[""ADP""]},{""start"":11,""end"":20,""text"":""दिग्लीपुर"",""labels"":[""PROPN""]},{""start"":22,""end"":26,""text"":""Car "",""labels"":[""PROPN""]},{""start"":26,""end"":34,""text"":""Nicobar "",""labels"":[""PROPN""]},{""start"":34,""end"":37,""text"":""और "",""labels"":[""CONJ""]},{""start"":37,""end"":49,""text"":""Campbell-Bay"",""labels"":[""PROPN""]},{""start"":50,""end"":54,""text"":""में "",""labels"":[""ADP""]},{""start"":54,""end"":57,""text"":""भी "",""labels"":[""ADV""]},{""start"":57,""end"":65,""text"":""एयरपोर्ट"",""labels"":[""NOUN""]},{""start"":67,""end"":74,""text"":""ऑपरेशन "",""labels"":[""NOUN""]},{""start"":74,""end"":77,""text"":""के "",""labels"":[""ADP""]},{""start"":77,""end"":81,""text"":""लिए "",""labels"":[""ADJ""]},{""start"":81,""end"":87,""text"":""तैयार "",""labels"":[""ADJ""]},{""start"":87,""end"":90,""text"":""हो "",""labels"":[""VERB""]},{""start"":90,""end"":94,""text"":""चुके"",""labels"":[""VERB""]},{""start"":95,""end"":98,""text"":""हैं"",""labels"":[""VERB""]},{""start"":98,""end"":99,""text"":""।"",""labels"":[""X""]}]",1102.677,"इसके अलावा दिग्लीपुर, Car Nicobar और Campbell-Bay में भी एयरपोर्ट, ऑपरेशन के लिए तैयार हो चुके हैं।","2025-01-25T08:58:22.398769Z"
5,"1","2025-01-25T09:03:23.095742Z",5,"[{""start"":0,""end"":7,""text"":""स्वराज "",""labels"":[""ADJ""]},{""start"":7,""end"":12,""text"":""द्वीप"",""labels"":[""PROPN""]},{""start"":14,""end"":19,""text"":""शहीद "",""labels"":[""ADJ""]},{""start"":19,""end"":25,""text"":""द्वीप "",""labels"":[""PROPN""]},{""start"":25,""end"":27,""text"":""और"",""labels"":[""CONJ""]},{""start"":40,""end"":44,""text"":""में "",""labels"":[""CONJ""]},{""start"":79,""end"":84,""text"":""जैसे "",""labels"":[""CONJ""]},{""start"":118,""end"":122,""text"":""आने "",""labels"":[""VERB""]},{""start"":115,""end"":118,""text"":""भी "",""labels"":[""ADV""]},{""start"":122,""end"":127,""text"":""वाले "",""labels"":[""ADJ""]},{""start"":127,""end"":131,""text"":""कुछ "",""labels"":[""DET""]},{""start"":131,""end"":138,""text"":""महीनों "",""labels"":[""NOUN""]},{""start"":138,""end"":141,""text"":""में"",""labels"":[""ADP""]},{""start"":142,""end"":147,""text"":""बनकर "",""labels"":[""VERB""]},{""start"":147,""end"":153,""text"":""तैयार "",""labels"":[""ADJ""]},{""start"":153,""end"":156,""text"":""हो "",""labels"":[""VERB""]},{""start"":156,""end"":162,""text"":""जाएंगे"",""labels"":[""VERB""]},{""start"":162,""end"":163,""text"":""।"",""labels"":[""X""]},{""start"":44,""end"":62,""text"":""Passenger Terminal"",""labels"":[""NOUN""]},{""start"":63,""end"":78,""text"":"" Floating Jetty"",""labels"":[""NOUN""]},{""start"":84,""end"":114,""text"":""Water Aerodrome Infrastructure"",""labels"":[""NOUN""]},{""start"":28,""end"":39,""text"":""Long Island"",""labels"":[""PROPN""]}]",243.27799999999996,"स्वराज द्वीप, शहीद द्वीप और Long Island में Passenger Terminal, Floating Jetty जैसे Water Aerodrome Infrastructure भी आने वाले कुछ महीनों में बनकर तैयार हो जाएंगे।","2025-01-25T11:01:37.405348Z"
7,"1","2025-01-25T09:20:56.985709Z",6,"[{""start"":0,""end"":2,""text"":""3 "",""labels"":[""NUM""]},{""start"":2,""end"":6,""text"":""दशक "",""labels"":[""NOUN""]},{""start"":6,""end"":8,""text"":""के"",""labels"":[""ADJ""]},{""start"":17,""end"":19,""text"":""के"",""labels"":[""ADJ""]},{""start"":9,""end"":17,""text"":""इंतज़ार "",""labels"":[""VERB""]},{""start"":20,""end"":24,""text"":""बाद "",""labels"":[""ADP""]},{""start"":35,""end"":38,""text"":""में"",""labels"":[""ADP""]},{""start"":39,""end"":44,""text"":""भारत "",""labels"":[""PROPN""]},{""start"":47,""end"":52,""text"":""पहले "",""labels"":[""NUM""]},{""start"":44,""end"":46,""text"":""के"",""labels"":[""ADJ""]},{""start"":52,""end"":56,""text"":""डीप "",""labels"":[""ADJ""]},{""start"":56,""end"":64,""text"":""ड्राफ्ट "",""labels"":[""NOUN""]},{""start"":64,""end"":75,""text"":""ग्रीनफील्ड "",""labels"":[""ADJ""]},{""start"":75,""end"":84,""text"":""सी-पोर्ट "",""labels"":[""NOUN""]},{""start"":84,""end"":86,""text"":""को"",""labels"":[""ADJ""]},{""start"":87,""end"":98,""text"":""सैद्धांतिक "",""labels"":[""ADJ""]},{""start"":106,""end"":109,""text"":""दी "",""labels"":[""VERB""]},{""start"":109,""end"":112,""text"":""जा "",""labels"":[""VERB""]},{""start"":112,""end"":117,""text"":""चुकी "",""labels"":[""VERB""]},{""start"":117,""end"":119,""text"":""है"",""labels"":[""VERB""]},{""start"":119,""end"":120,""text"":""।"",""labels"":[""X""]},{""start"":98,""end"":106,""text"":""मंज़ूरी "",""labels"":[""VERB""]},{""start"":24,""end"":35,""text"":""West Coast "",""labels"":[""PROPN""]}]",666.4970000000001,"3 दशक के इंतज़ार के बाद West Coast में भारत के पहले डीप ड्राफ्ट ग्रीनफील्ड सी-पोर्ट को सैद्धांतिक मंज़ूरी दी जा चुकी है।","2025-01-25T11:02:07.192177Z"
6,"1","2025-01-25T09:20:53.298723Z",7,"[{""start"":0,""end"":3,""text"":""अब "",""labels"":[""ADV""]},{""start"":3,""end"":9,""text"":""ग्रेट "",""labels"":[""PROPN""]},{""start"":9,""end"":17,""text"":""निकोबार "",""labels"":[""PROPN""]},{""start"":17,""end"":21,""text"":""में "",""labels"":[""ADP""]},{""start"":21,""end"":26,""text"":""करीब "",""labels"":[""ADV""]},{""start"":26,""end"":28,""text"":""10"",""labels"":[""NUM""]},{""start"":29,""end"":35,""text"":""हज़ार "",""labels"":[""NUM""]},{""start"":35,""end"":41,""text"":""करोड़ "",""labels"":[""NUM""]},{""start"":41,""end"":46,""text"":""रुपए "",""labels"":[""NOUN""]},{""start"":46,""end"":49,""text"":""की "",""labels"":[""ADP""]},{""start"":49,""end"":57,""text"":""संभावित "",""labels"":[""ADJ""]},{""start"":57,""end"":62,""text"":""लागत "",""labels"":[""NOUN""]},{""start"":62,""end"":65,""text"":""से "",""labels"":[""ADP""]},{""start"":85,""end"":88,""text"":""के "",""labels"":[""ADP""]},{""start"":88,""end"":96,""text"":""निर्माण "",""labels"":[""NOUN""]},{""start"":96,""end"":99,""text"":""का "",""labels"":[""ADJ""]},{""start"":99,""end"":108,""text"":""प्रस्ताव "",""labels"":[""NOUN""]},{""start"":108,""end"":110,""text"":""है"",""labels"":[""VERB""]},{""start"":110,""end"":111,""text"":""।"",""labels"":[""X""]},{""start"":65,""end"":84,""text"":""Trans Shipment Port"",""labels"":[""PROPN""]}]",397.68600000000004,"अब ग्रेट निकोबार में करीब 10 हज़ार करोड़ रुपए की संभावित लागत से Trans Shipment Port के निर्माण का प्रस्ताव है।","2025-01-25T11:02:22.987167Z"
8,"1","2025-01-25T09:21:55.232415Z",8,"[{""start"":30,""end"":33,""text"":""ने "",""labels"":[""ADP""]},{""start"":87,""end"":92,""text"":""बनाई "",""labels"":[""VERB""]},{""start"":92,""end"":94,""text"":""है"",""labels"":[""VERB""]},{""start"":94,""end"":95,""text"":""।"",""labels"":[""X""]},{""start"":0,""end"":29,""text"":""World Health Organisation-WHO"",""labels"":[""PROPN""]},{""start"":33,""end"":56,""text"":""Global strategy on Diet"",""labels"":[""PROPN""]},{""start"":58,""end"":86,""text"":""physical activity and health"",""labels"":[""NOUN""]}]",108.096,"World Health Organisation-WHO ने Global strategy on Diet, physical activity and health बनाई है।","2025-01-25T09:26:51.410798Z"
9,"1","2025-01-25T09:59:13.825695Z",9,"[{""start"":39,""end"":42,""text"":""और "",""labels"":[""CONJ""]},{""start"":49,""end"":52,""text"":""के "",""labels"":[""ADP""]},{""start"":8,""end"":38,""text"":""Indo Pacific Oceans Initiative"",""labels"":[""PROPN""]},{""start"":0,""end"":4,""text"":""भारत"",""labels"":[""PROPN""]},{""start"":5,""end"":7,""text"":""के"",""labels"":[""ADP""]},{""start"":42,""end"":49,""text"":""आसियान "",""labels"":[""PROPN""]},{""start"":52,""end"":80,""text"":""Outlook for the Indo-Pacific"",""labels"":[""PROPN""]},{""start"":81,""end"":93,""text"":"" इंडो-पसिफ़िक"",""labels"":[""ADJ""]},{""start"":94,""end"":101,""text"":""क्षेत्र"",""labels"":[""NOUN""]},{""start"":105,""end"":106,""text"":"" "",""labels"":[""ADP""]},{""start"":102,""end"":105,""text"":""में"",""labels"":[""ADP""]},{""start"":106,""end"":111,""text"":""हमारे"",""labels"":[""PRON""]},{""start"":112,""end"":117,""text"":""साझा "",""labels"":[""ADJ""]},{""start"":117,""end"":121,""text"":""विज़न"",""labels"":[""NOUN""]},{""start"":122,""end"":124,""text"":""और"",""labels"":[""CONJ""]},{""start"":125,""end"":129,""text"":""आपसी"",""labels"":[""ADJ""]},{""start"":130,""end"":135,""text"":""सहयोग"",""labels"":[""NOUN""]},{""start"":136,""end"":138,""text"":""का"",""labels"":[""ADP""]},{""start"":138,""end"":144,""text"":"" ढांचा"",""labels"":[""NOUN""]},{""start"":144,""end"":147,""text"":""हैं"",""labels"":[""VERB""]},{""start"":147,""end"":148,""text"":""।"",""labels"":[""X""]}]",2023.753,"भारत के Indo Pacific Oceans Initiative और आसियान के Outlook for the Indo-Pacific, इंडो-पसिफ़िक क्षेत्र में हमारे साझा विज़न और आपसी सहयोग का ढांचाहैं।","2025-01-25T10:56:47.693663Z"
10,"1","2025-01-25T10:08:36.513526Z",10,"[{""start"":0,""end"":2,""text"":""उस"",""labels"":[""DET""]},{""start"":3,""end"":6,""text"":""समय"",""labels"":[""NOUN""]},{""start"":6,""end"":31,""text"":"" Public Sector Enterprise"",""labels"":[""PROPN""]},{""start"":35,""end"":38,""text"":""देश"",""labels"":[""NOUN""]},{""start"":32,""end"":35,""text"":""ने "",""labels"":[""ADP""]},{""start"":39,""end"":41,""text"":""से"",""labels"":[""ADP""]},{""start"":60,""end"":63,""text"":""की "",""labels"":[""ADP""]},{""start"":70,""end"":72,""text"":""के"",""labels"":[""ADP""]},{""start"":73,""end"":77,""text"":""लिए "",""labels"":[""ADP""]},{""start"":42,""end"":48,""text"":""जुड़ी "",""labels"":[""ADJ""]},{""start"":84,""end"":91,""text"":""संभाला "",""labels"":[""VERB""]},{""start"":91,""end"":93,""text"":""था"",""labels"":[""VERB""]},{""start"":48,""end"":60,""text"":""आवश्‍यकताओं "",""labels"":[""NOUN""]},{""start"":77,""end"":83,""text"":""मोर्चा"",""labels"":[""NOUN""]},{""start"":63,""end"":70,""text"":""पूर्ति "",""labels"":[""NOUN""]},{""start"":93,""end"":94,""text"":""।"",""labels"":[""X""]}]",554.271,"उस समय Public Sector Enterprise ने देश से जुड़ी आवश्‍यकताओं की पूर्ति के लिए मोर्चा संभाला था।","2025-01-25T10:56:40.922267Z"
